	Long	Lat	Elevation	Elev_Range	Temp	Temp_Seas	Prec	Prec_Seas
81	-10519639.38	3357713.384	66.789	114.628	22.94	481.868	666.821	112.239
106	-10421703.73	3107292.711	35.395	249.33	24.377	436.145	690.937	117.707
118	-10314500.74	2987356.871	52.643	247.748	24.561	345.007	809.412	114.155
129	-10220042.45	2874944.051	73.018	178.238	23.237	287.665	1037.75	116.371
136	-9554776.573	2895419.097	61.068	107.168	22.875	393.661	866.636	78.923
137	-9454475.121	2885759.454	41.932	81.057	23.186	403.359	927.687	78.307
144	-9554776.573	2777599.451	40.505	83.623	24.294	378.579	1184.08	86.732
145	-9447486.609	2767343.506	14.552	23.941	24.514	379.157	986.888	83.433
146	-10146346.85	2638022.87	87.798	231.907	22.731	246.125	1234.069	120.879
152	-9554776.573	2658952.054	86.988	121.685	21.615	308.149	1194.233	76.057
153	-9425230.979	2659234.512	35.164	71.95	23.537	339.121	1413.459	70.241
154	-8687996.303	2614872.589	13.13	141.059	26.085	194.594	858.615	71.286
155	-8576641.454	2652563.901	10.184	13.052	25.79	192.552	1030.66	65.951
156	-8492201.033	2664269.405	11.994	11.076	25.604	189.813	1120.795	56.895
157	-8407375.897	2651119.598	18.03	168.87	25.447	199.959	1234.888	50.891
158	-10142733.86	2530670.244	96.008	225.104	21.273	218.726	1269.014	114.808
165	-9458290.293	2539512.608	104.732	141.378	17.68	230.774	1427.011	74.043
166	-9355431.408	2530083.385	57.7	150.457	21.846	280.357	1604.029	57.044
167	-8686400.051	2539512.608	19.793	35.514	25.99	200.971	1077.24	76.179
168	-8589913.77	2539512.608	19.486	27.145	25.727	194.199	1154.544	64.401
169	-8463277.407	2520562.66	14.113	12.972	25.734	178.38	1187.563	56.575
170	-10112721.12	2431850.257	67.901	231.025	25.026	182.015	1259.588	114.353
171	-10032944.94	2389210.242	88.411	229.401	23.303	166.693	1025.358	111.001
172	-9940721.694	2419317.011	99.308	96.749	23.255	172.173	901.227	108.958
173	-9844235.414	2419317.011	111.422	121.47	20.605	183.197	953.227	108.326
174	-9747749.133	2419317.011	108.947	94.196	21.452	193.626	1015.008	111.487
178	-9361804.012	2419317.011	105.884	169.965	17.952	197.206	1203.649	80.366
179	-8768984.596	2397544.471	105.884	169.965	26.397	208.49	1322.541	83.69
180	-8686400.051	2419317.011	33.977	42.494	25.748	205.678	1126.724	74.061
181	-8589913.77	2419317.011	28.352	35.771	25.429	180.058	996.972	60.554
182	-8469157.037	2408274.198	28.352	35.771	26.072	161.657	1311.242	53.304
183	-9925717.138	2291191.081	102.855	209.275	22.696	137.461	1073.498	109.195
184	-9830504.958	2264395.636	79.725	217.987	25.115	109.954	911.255	114.728
185	-9747749.133	2298401.341	89.62	87.443	25.3	147.805	1077.265	115.67
186	-9651262.853	2298401.341	105.311	91.164	23.872	172.177	1106.669	110.926
187	-9554776.573	2298401.341	108.426	34.021	24.038	168.743	935.528	107.159
189	-9361804.012	2298401.341	104.841	133.152	20.181	213.241	1641.345	86.295
190	-9244225.578	2306174.392	22.162	71.797	25.608	236.117	1937.138	89.941
191	-9159371.182	2298654.975	33.827	79.025	25.287	234.705	1866.279	77.276
192	-9054181.116	2285028.14	12.081	17.818	26.094	226.482	2294.163	60.178
193	-8967199.817	2304113.167	12.081	17.818	26.494	217.51	1971.129	57.157
194	-8870461.572	2314131.935	12.081	17.818	26.795	206.857	1776.246	60.573
195	-8788849.656	2304745.511	21.378	35.166	26.464	210.01	1421.18	70.219
196	-8686400.051	2298401.341	44.67	31.803	25.446	196.222	1206.238	66.404
197	-8589913.77	2298401.341	29.017	42.892	25.335	174.681	1235.558	59.513
198	-8498776.74	2300352.518	16.538	96.758	26.222	159.029	1401.253	54.89
199	-9734368.109	2185517.49	95.38	121.23	24.352	81.943	1286.134	111.555
200	-9642533.139	2146890.154	99.435	144.998	23.317	110.181	1304.768	108.62
205	-9168831.452	2176801.851	42.176	93.054	25.024	208.967	2267.652	81.588
206	-9072345.172	2176801.851	56.746	99.25	24.587	209.54	2299.024	58.147
207	-8975858.891	2176801.851	80.731	144.776	23.017	196.653	2349.035	59.781
208	-8879372.611	2176801.851	68.074	129.399	23.699	192.018	2311.555	57.272
209	-8782886.331	2176801.851	37.329	84.833	25.974	192.714	2203.215	63.546
210	-8686400.051	2176801.851	45.384	31.196	25.4	181.62	1760.742	58.498
211	-8589913.77	2176801.851	42.131	70.377	24.904	173.673	1802.551	53.533
212	-9441742.618	2045913.868	74.133	163.371	25.316	120.974	1434.124	111.008
215	-9148395.158	2053645.33	38.143	163.165	26.504	135.861	943.75	107.071
216	-9063708.731	2032373.149	72.746	169.984	24.874	128.365	1124.389	100.952
217	-8975858.891	2054554.957	91.139	120.646	23.395	154.431	1379.595	102.143
219	-8782886.331	2054554.957	57.568	110.895	24.633	152.703	2902.66	61.859
220	-8686400.051	2054554.957	46.717	35.792	25.713	162.101	3241.687	57.701
221	-8558611.843	2027703.91	46.418	80.589	24.593	157.876	2925.763	62.722
222	-8956385.271	1922789.513	70.989	182.699	25.068	93.298	2080.603	98.196
226	-8589913.77	1931697.231	68.331	106.295	24.001	141.321	1977.249	65.659
227	-8495009.96	1950032.601	67.804	100.588	24.068	147.481	1625.693	57.85
228	-8396941.21	1931697.231	88.463	112.078	22.8	150.205	1345.187	55.386
229	-8300454.93	1931697.231	80.575	88.35	23.538	142.697	1411.712	50.47
230	-8203968.649	1931697.231	45.972	80.932	25.236	125.194	2491.77	44.849
231	-8094754.932	1931964.352	16.222	29.212	25.873	119.583	2903.168	48.987
232	-8847887.717	1806023.582	61.303	190.511	26.588	68.161	2168.076	90.502
235	-8589913.77	1808265.389	89.871	93.564	22.237	103.311	1617.217	89.049
