species	tribe
Aegialomys_galapagoensis	Oryzomyini
Aegialomys_xanthaeolus	Oryzomyini
Aepeomys_lugens	Thomasomyini
Akodon_aerosus	Akodontini
Akodon_affinis	Akodontini
Akodon_albiventer	Akodontini
Akodon_azarae	Akodontini
Akodon_boliviensis	Akodontini
Akodon_budini	Akodontini
Akodon_caenosus	Akodontini
Akodon_cursor	Akodontini
Akodon_dayi	Akodontini
Akodon_dolores	Akodontini
Akodon_fumeus	Akodontini
Akodon_iniscatus	Akodontini
Akodon_juninensis	Akodontini
Akodon_kofordi	Akodontini
Akodon_lindberghi	Akodontini
Akodon_lutescens	Akodontini
Akodon_mimus	Akodontini
Akodon_mollis	Akodontini
Akodon_montensis	Akodontini
Akodon_mystax	Akodontini
Akodon_orophilus	Akodontini
Akodon_paranaensis	Akodontini
Akodon_reigi	Akodontini
Akodon_sanctipaulensis	Akodontini
Akodon_serrensis	Akodontini
Akodon_siberiae	Akodontini
Akodon_simulator	Akodontini
Akodon_simulator_	Akodontini
Akodon_spegazzinii	Akodontini
Akodon_subfuscus	Akodontini
Akodon_surdus	Akodontini
Akodon_sylvanus	Akodontini
Akodon_toba	Akodontini
Akodon_torques	Akodontini
Akodon_varius	Akodontini
Andalgalomys_pearsoni	Phyllotini
Auliscomys_boliviensis	Phyllotini
Auliscomys_pictus	Phyllotini
Auliscomys_sublimis	Phyllotini
Blarinomys_breviceps	Akodontini
Brucepattersonius_iheringi	Akodontini
Brucepattersonius_soricinus	Akodontini
Brucepattersonius_sp	Akodontini
Calomys_callosus	Phyllotini
Calomys_laucha	Phyllotini
Calomys_lepidus	Phyllotini
Calomys_musculinus	Phyllotini
Calomys_sorellus	Phyllotini
Calomys_venustus	Phyllotini
Cerradomys_langguthi	Oryzomyini
Cerradomys_maracajuensis	Oryzomyini
Cerradomys_scotti	Oryzomyini
Chilomys_instans	Thomasomyini
Deltamys_kempi	Akodontini
Eligmodontia_morgani	Phyllotini
Eremoryzomys_polius	Oryzomyini
Euryoryzomys_legatus	Oryzomyini
Euryoryzomys_macconnelli	Oryzomyini
Euryoryzomys_nitidus	Oryzomyini
Euryoryzomys_russatus	Oryzomyini
Galenomys_garleppii	Phyllotini
Graomys_domorum	Phyllotini
Graomys_griseoflavus	Phyllotini
Handleyomys_alfaroi	Oryzomyini
Handleyomys_intectus	Oryzomyini
Holochilus_brasiliensis	Oryzomyini
Holochilus_sciureus	Oryzomyini
Hylaeamys_megacephalus	Oryzomyini
Hylaeamys_oniscus	Oryzomyini
Hylaeamys_perenensis	Oryzomyini
Hylaeamys_yunganus	Oryzomyini
Juscelinomys_huanchacae	Akodontini
Kunsia_tomentosus	Akodontini
Lenoxus_apicalis	Akodontini
Loxodontomys_micropus	Phyllotini
Lundomys_molitor	Oryzomyini
Melanomys_caliginosus	Oryzomyini
Melanomys_robustulus	Oryzomyini
Melanomys_zunigae	Oryzomyini
Microryzomys_altissimus	Oryzomyini
Microryzomys_minutus	Oryzomyini
Neacomys_guianae	Oryzomyini
Neacomys_spinosus	Oryzomyini
Neacomys_tenuipes	Oryzomyini
Necromys_amoenus	Akodontini
Necromys_lactens	Akodontini
Necromys_lasiurus	Akodontini
Necromys_lenguarum	Akodontini
Necromys_obscurus	Akodontini
