Id	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26	Symm27	Symm28	Symm29	Symm30	Symm31	Symm32	Symm33	Symm34	Symm35	Symm36	Symm37	Symm38	Symm39	Symm40	Symm41	Symm42	Symm43	Symm44	Symm45	Symm46	Symm47	Symm48	Symm49	Symm50	Symm51	Symm52	Symm53	Symm54	Symm55	Symm56	Symm57	Symm58	Symm59	Symm60	Symm61	Symm62	Symm63	Symm64	Symm65	Symm66	Symm67	Symm68	Symm69	Symm70	Symm71	Symm72	Symm73	Symm74	Symm75	Symm76	Symm77	Symm78	Symm79	Symm80	Symm81	Symm82	Symm83	Symm84	Symm85	Symm86	Symm87	Symm88	Symm89	Symm90	Symm91	Symm92	Symm93	Symm94	Symm95	Symm96	Symm97	Symm98	Symm99	Symm100	Symm101	Symm102	Symm103	Symm104	Symm105	Symm106	Symm107	Symm108	Symm109	Symm110	Symm111	Symm112
aerF_V_AMNH16	-0.229120609	0	-0.204607949	0.022610796	-0.204607949	-0.022610796	-0.200329001	0.011647986	-0.200329001	-0.011647986	-0.168287275	0.004456014	-0.168287275	-0.004456014	-0.145168028	0.038024076	-0.145168028	-0.038024076	-0.126323232	0.01934903	-0.126323232	-0.01934903	-0.103231782	0.059591966	-0.103231782	-0.059591966	-0.064163147	0.015400421	-0.064163147	-0.015400421	-0.072210301	0.057893083	-0.072210301	-0.057893083	-0.076306181	0.040405675	-0.037772834	0.04127063	-0.014309521	0.039389759	5.92E-04	0.033910481	-0.057121222	0.049488804	-0.057292094	0.027560217	-0.076306181	-0.040405675	-0.037772834	-0.04127063	-0.014309521	-0.039389759	5.92E-04	-0.033910481	-0.057121222	-0.049488804	-0.057292094	-0.027560217	0.007962841	0.032031711	0.007962841	-0.032031711	0.001798097	0	0.013603283	0.107886231	0.013603283	-0.107886231	0.053665794	0.103445061	0.053665794	-0.103445061	0.08362849	0.100023127	0.08362849	-0.100023127	0.073723435	0.021235308	0.073723435	-0.021235308	0.099567039	0.014382801	0.099567039	-0.014382801	0.098696576	0.070230612	0.098696576	-0.070230612	0.118751261	0.09763339	0.118751261	-0.09763339	0.148387262	0.094893727	0.148387262	-0.094893727	0.159007955	0.042138844	0.159007955	-0.042138844	0.198053024	0.05788571	0.198053024	-0.05788571	0.172018516	0	0.213470064	0	0.192400957	0.030313896	0.192400957	-0.030313896
aerF_V_AMNH19	-0.226784657	0	-0.207243154	0.022478591	-0.207243154	-0.022478591	-0.204661045	0.013148784	-0.204661045	-0.013148784	-0.160544833	0.00619968	-0.160544833	-0.00619968	-0.142067228	0.039267491	-0.142067228	-0.039267491	-0.126745878	0.021357247	-0.126745878	-0.021357247	-0.10626956	0.058776559	-0.10626956	-0.058776559	-0.05936952	0.012950778	-0.05936952	-0.012950778	-0.074704328	0.060815427	-0.074704328	-0.060815427	-0.07269068	0.040181516	-0.033765797	0.040534261	-0.014411125	0.040866516	-0.001099151	0.036657207	-0.050958887	0.049297914	-0.053327767	0.026125839	-0.07269068	-0.040181516	-0.033765797	-0.040534261	-0.014411125	-0.040866516	-0.001099151	-0.036657207	-0.050958887	-0.049297914	-0.053327767	-0.026125839	0.008586872	0.033422963	0.008586872	-0.033422963	0.001821247	0	9.64E-04	0.111309789	9.64E-04	-0.111309789	0.04901126	0.10485021	0.04901126	-0.10485021	0.074245518	0.106702312	0.074245518	-0.106702312	0.081258931	0.023168864	0.081258931	-0.023168864	0.103030795	0.019190658	0.103030795	-0.019190658	0.096037812	0.071074384	0.096037812	-0.071074384	0.119506328	0.099171434	0.119506328	-0.099171434	0.147828563	0.098834908	0.147828563	-0.098834908	0.154602717	0.040726624	0.154602717	-0.040726624	0.196635157	0.056079677	0.196635157	-0.056079677	0.175049062	0	0.212276316	0	0.194969751	0.029402187	0.194969751	-0.029402187
aerF_V_AMNH20	-0.22640899	0	-0.202628239	0.022106254	-0.202628239	-0.022106254	-0.207338197	0.011989579	-0.207338197	-0.011989579	-0.165143463	0.005149317	-0.165143463	-0.005149317	-0.143281818	0.037844174	-0.143281818	-0.037844174	-0.122927679	0.020716297	-0.122927679	-0.020716297	-0.108906354	0.054437352	-0.108906354	-0.054437352	-0.058457364	0.012184195	-0.058457364	-0.012184195	-0.072334756	0.057075005	-0.072334756	-0.057075005	-0.076132987	0.037853399	-0.035056191	0.039566782	-0.013188237	0.039560314	0.001870925	0.034237602	-0.052933091	0.047744137	-0.055399617	0.024325222	-0.076132987	-0.037853399	-0.035056191	-0.039566782	-0.013188237	-0.039560314	0.001870925	-0.034237602	-0.052933091	-0.047744137	-0.055399617	-0.024325222	0.012745789	0.034079984	0.012745789	-0.034079984	0.00565734	0	0.009633221	0.109040821	0.009633221	-0.109040821	0.047324981	0.106452587	0.047324981	-0.106452587	0.077409912	0.108565952	0.077409912	-0.108565952	0.073069164	0.019609731	0.073069164	-0.019609731	0.099484074	0.015250072	0.099484074	-0.015250072	0.093749062	0.069813938	0.093749062	-0.069813938	0.117566362	0.102702831	0.117566362	-0.102702831	0.146488349	0.098516501	0.146488349	-0.098516501	0.152782766	0.042635254	0.152782766	-0.042635254	0.202026223	0.058969119	0.202026223	-0.058969119	0.170091261	0	0.224018564	0	0.192898079	0.030646378	0.192898079	-0.030646378
aerF_V_AMNH22	-0.231702799	0	-0.210822987	0.023120568	-0.210822987	-0.023120568	-0.19679648	0.012936552	-0.19679648	-0.012936552	-0.168332598	0.004365282	-0.168332598	-0.004365282	-0.145326575	0.041333526	-0.145326575	-0.041333526	-0.121642463	0.023669921	-0.121642463	-0.023669921	-0.108693984	0.055060978	-0.108693984	-0.055060978	-0.057300534	0.014783815	-0.057300534	-0.014783815	-0.07488511	0.063027257	-0.07488511	-0.063027257	-0.074925835	0.039481577	-0.035638161	0.041771764	-0.011167404	0.041205458	0.005762163	0.034732887	-0.054220635	0.049917166	-0.054797961	0.025820208	-0.074925835	-0.039481577	-0.035638161	-0.041771764	-0.011167404	-0.041205458	0.005762163	-0.034732887	-0.054220635	-0.049917166	-0.054797961	-0.025820208	0.015261194	0.031329575	0.015261194	-0.031329575	0.005958359	0	0.007518533	0.105443264	0.007518533	-0.105443264	0.050436385	0.108402388	0.050436385	-0.108402388	0.07475456	0.108428457	0.07475456	-0.108428457	0.073985817	0.019893991	0.073985817	-0.019893991	0.101305841	0.017256204	0.101305841	-0.017256204	0.099067616	0.069277859	0.099067616	-0.069277859	0.116111067	0.101569253	0.116111067	-0.101569253	0.143512448	0.098922325	0.143512448	-0.098922325	0.158505175	0.04094852	0.158505175	-0.04094852	0.194870756	0.05544874	0.194870756	-0.05544874	0.173006969	0	0.211799043	0	0.193928386	0.030355498	0.193928386	-0.030355498
aerF_V_AMNH25	-0.22784208	0	-0.209880265	0.022724325	-0.209880265	-0.022724325	-0.204765025	0.012130235	-0.204765025	-0.012130235	-0.170573977	0.003420945	-0.170573977	-0.003420945	-0.148700068	0.038777754	-0.148700068	-0.038777754	-0.124469345	0.01964646	-0.124469345	-0.01964646	-0.110099794	0.049558329	-0.110099794	-0.049558329	-0.056986376	0.012295382	-0.056986376	-0.012295382	-0.071833633	0.054001159	-0.071833633	-0.054001159	-0.074054476	0.038779563	-0.036478774	0.038956892	-0.014438619	0.034362049	-0.001096287	0.029392378	-0.0547518	0.048522415	-0.055446525	0.02613361	-0.074054476	-0.038779563	-0.036478774	-0.038956892	-0.014438619	-0.034362049	-0.001096287	-0.029392378	-0.0547518	-0.048522415	-0.055446525	-0.02613361	0.009498306	0.025133715	0.009498306	-0.025133715	0.005227208	0	0.006586975	0.106940795	0.006586975	-0.106940795	0.06055505	0.10097378	0.06055505	-0.10097378	0.087210213	0.099280777	0.087210213	-0.099280777	0.077492982	0.020674003	0.077492982	-0.020674003	0.099695372	0.01638563	0.099695372	-0.01638563	0.095428558	0.066634489	0.095428558	-0.066634489	0.120196805	0.098907251	0.120196805	-0.098907251	0.150442142	0.093796146	0.150442142	-0.093796146	0.158822312	0.040828225	0.158822312	-0.040828225	0.193505658	0.055693575	0.193505658	-0.055693575	0.174691115	0	0.208890137	0	0.193657402	0.027675179	0.193657402	-0.027675179
aerF_V_AMNH27	-0.225992024	0	-0.203170602	0.024282016	-0.203170602	-0.024282016	-0.202241668	0.011410273	-0.202241668	-0.011410273	-0.165810923	0.003681897	-0.165810923	-0.003681897	-0.142820023	0.03936956	-0.142820023	-0.03936956	-0.123502339	0.019315313	-0.123502339	-0.019315313	-0.109884041	0.052990697	-0.109884041	-0.052990697	-0.053967813	0.012323604	-0.053967813	-0.012323604	-0.073083833	0.059612754	-0.073083833	-0.059612754	-0.076761336	0.038272395	-0.036837827	0.040841994	-0.014573194	0.039375057	8.88E-04	0.031833648	-0.055785485	0.048573873	-0.057258345	0.026489712	-0.076761336	-0.038272395	-0.036837827	-0.040841994	-0.014573194	-0.039375057	8.88E-04	-0.031833648	-0.055785485	-0.048573873	-0.057258345	-0.026489712	0.008247744	0.03055137	0.008247744	-0.03055137	0.001811736	0	0.004022174	0.107639627	0.004022174	-0.107639627	0.051296427	0.105422057	0.051296427	-0.105422057	0.07779306	0.106340381	0.07779306	-0.106340381	0.078149974	0.019144276	0.078149974	-0.019144276	0.101879344	0.015090846	0.101879344	-0.015090846	0.094350636	0.071019551	0.094350636	-0.071019551	0.118261853	0.100456629	0.118261853	-0.100456629	0.145142056	0.100822366	0.145142056	-0.100822366	0.159666647	0.045265775	0.159666647	-0.045265775	0.197011745	0.05629635	0.197011745	-0.05629635	0.174745226	0	0.21596493	0	0.195723028	0.031460432	0.195723028	-0.031460432
aerF_V_AMNH28	-0.225844907	0	-0.205030657	0.024484611	-0.205030657	-0.024484611	-0.204448847	0.012850457	-0.204448847	-0.012850457	-0.167495355	0.003527748	-0.167495355	-0.003527748	-0.143684987	0.039294367	-0.143684987	-0.039294367	-0.128202742	0.017284883	-0.128202742	-0.017284883	-0.108273385	0.050231282	-0.108273385	-0.050231282	-0.059101352	0.012686029	-0.059101352	-0.012686029	-0.070372131	0.05903514	-0.070372131	-0.05903514	-0.073719629	0.041067824	-0.036184812	0.042476796	-0.014516542	0.038607285	0.001360783	0.034722416	-0.054875839	0.051814012	-0.055401976	0.02854358	-0.073719629	-0.041067824	-0.036184812	-0.042476796	-0.014516542	-0.038607285	0.001360783	-0.034722416	-0.054875839	-0.051814012	-0.055401976	-0.02854358	0.012262977	0.032075835	0.012262977	-0.032075835	0.004711678	0	0.004013466	0.108327756	0.004013466	-0.108327756	0.050688053	0.101150164	0.050688053	-0.101150164	0.0788862	0.100989193	0.0788862	-0.100989193	0.077284568	0.021155175	0.077284568	-0.021155175	0.097054035	0.015167107	0.097054035	-0.015167107	0.098450355	0.070671801	0.098450355	-0.070671801	0.119059399	0.098324004	0.119059399	-0.098324004	0.147985619	0.099751664	0.147985619	-0.099751664	0.161543895	0.044415136	0.161543895	-0.044415136	0.196063182	0.05427814	0.196063182	-0.05427814	0.174211032	0	0.213375148	0	0.193429248	0.027312314	0.193429248	-0.027312314
aerF_V_FMNH100	-0.227713158	0	-0.200783202	0.023144585	-0.200783202	-0.023144585	-0.197566852	0.011183717	-0.197566852	-0.011183717	-0.163426887	0.003794038	-0.163426887	-0.003794038	-0.141682054	0.038926445	-0.141682054	-0.038926445	-0.129664103	0.014583628	-0.129664103	-0.014583628	-0.102154352	0.05508442	-0.102154352	-0.05508442	-0.067999927	0.00979048	-0.067999927	-0.00979048	-0.070834249	0.059085026	-0.070834249	-0.059085026	-0.076597509	0.037534808	-0.037663269	0.041116669	-0.013121914	0.040514335	0.002058803	0.03472452	-0.057021503	0.047705367	-0.058226467	0.024561828	-0.076597509	-0.037534808	-0.037663269	-0.041116669	-0.013121914	-0.040514335	0.002058803	-0.03472452	-0.057021503	-0.047705367	-0.058226467	-0.024561828	0.01503381	0.034132642	0.01503381	-0.034132642	0.007847821	0	0.006249217	0.109430739	0.006249217	-0.109430739	0.051160851	0.108001615	0.051160851	-0.108001615	0.076120353	0.111794373	0.076120353	-0.111794373	0.073545262	0.020765142	0.073545262	-0.020765142	0.096877011	0.015174962	0.096877011	-0.015174962	0.090493613	0.072262727	0.090493613	-0.072262727	0.116846645	0.101207691	0.116846645	-0.101207691	0.149600635	0.103403846	0.149600635	-0.103403846	0.159380501	0.042923954	0.159380501	-0.042923954	0.20210344	0.057096471	0.20210344	-0.057096471	0.171160842	0	0.217806288	0	0.19272125	0.031349467	0.19272125	-0.031349467
aerF_V_FMNH101	-0.230883693	0	-0.205001738	0.023696296	-0.205001738	-0.023696296	-0.200209475	0.01136074	-0.200209475	-0.01136074	-0.167505708	0.004026712	-0.167505708	-0.004026712	-0.140020182	0.04076939	-0.140020182	-0.04076939	-0.124367939	0.017428006	-0.124367939	-0.017428006	-0.106270002	0.053435509	-0.106270002	-0.053435509	-0.07023134	0.011341895	-0.07023134	-0.011341895	-0.068477884	0.059288512	-0.068477884	-0.059288512	-0.07426516	0.038359758	-0.036966717	0.040553093	-0.013088885	0.039256399	0.003937874	0.035803859	-0.054944883	0.048633845	-0.0549339	0.026998952	-0.07426516	-0.038359758	-0.036966717	-0.040553093	-0.013088885	-0.039256399	0.003937874	-0.035803859	-0.054944883	-0.048633845	-0.0549339	-0.026998952	0.012070261	0.032299805	0.012070261	-0.032299805	0.005612216	0	0.008734049	0.109970572	0.008734049	-0.109970572	0.049856066	0.104057866	0.049856066	-0.104057866	0.07535517	0.106712499	0.07535517	-0.106712499	0.073564842	0.02073192	0.073564842	-0.02073192	0.098695087	0.015039523	0.098695087	-0.015039523	0.09227063	0.070096884	0.09227063	-0.070096884	0.121955212	0.101678681	0.121955212	-0.101678681	0.148820832	0.100366339	0.148820832	-0.100366339	0.160002643	0.042440376	0.160002643	-0.042440376	0.198165699	0.058746415	0.198165699	-0.058746415	0.171940106	0	0.215128682	0	0.191956793	0.030282213	0.191956793	-0.030282213
aerF_V_FMNH102	-0.229009008	0	-0.200881881	0.023500252	-0.200881881	-0.023500252	-0.194906789	0.011413957	-0.194906789	-0.011413957	-0.161045095	0.00468224	-0.161045095	-0.00468224	-0.141612911	0.039612926	-0.141612911	-0.039612926	-0.124938498	0.015424285	-0.124938498	-0.015424285	-0.10610334	0.053722402	-0.10610334	-0.053722402	-0.067902654	0.012721243	-0.067902654	-0.012721243	-0.072284032	0.060968335	-0.072284032	-0.060968335	-0.077978488	0.042104747	-0.037756262	0.042842798	-0.012503843	0.04285318	0.005331508	0.03775586	-0.056815066	0.05169601	-0.059845113	0.028367341	-0.077978488	-0.042104747	-0.037756262	-0.042842798	-0.012503843	-0.04285318	0.005331508	-0.03775586	-0.056815066	-0.05169601	-0.059845113	-0.028367341	0.017227872	0.038545171	0.017227872	-0.038545171	0.008515656	0	0.007799472	0.110126274	0.007799472	-0.110126274	0.050599241	0.108983278	0.050599241	-0.108983278	0.074977215	0.113708229	0.074977215	-0.113708229	0.07624744	0.019663221	0.07624744	-0.019663221	0.097621283	0.015404237	0.097621283	-0.015404237	0.089344042	0.073141533	0.089344042	-0.073141533	0.117178665	0.105566702	0.117178665	-0.105566702	0.150003509	0.106371501	0.150003509	-0.106371501	0.154713049	0.040248387	0.154713049	-0.040248387	0.200245196	0.06291012	0.200245196	-0.06291012	0.169825784	0	0.214594578	0	0.191321975	0.031198256	0.191321975	-0.031198256
